"Figure 1. Trends in April Snowpack in the Western United States, 1955-2022",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: USDA Natural Resources Conservation Service, 2022",,,
Web update: July 2022,,,
Units: degrees; degrees; percent change,,,
,,,
State,Latitude,Longitude,Trend (%)
CA,35.965,-118.36,-8.997002377
CA,36.717,-118.737,-8.225326786
CA,40.01667,-120.3,-25.13149605
CA,38.99927,-120.13139,-24.51481984
CA,39.001,-120.14,0.351979239
CA,38.085,-119.837,-16.33358
CA,37.957,-119.267,-6.184137549
CA,41.353,-122.247,-22.60252377
CA,36.572,-118.367,-8.655970658
CA,37.162,-118.563,-11.66370634
CA,41.008,-122.8,-34.37235639
CA,36.473,-118.267,-13.21087185
CA,38.678,-120.118,-30.91959134
CA,40.5,-121.15,-33.70567335
CA,41.045,-122.478,-44.84081093
CA,37.827,-119.497,-5.632204261
CA,38.313,-119.607,-9.359650659
CA,38.092,-119.758,-17.20390964
CA,39.18118,-120.2503,-22.40220017
CA,36.943,-118.913,-6.639304167
CA,41.17,-121.938,-39.18851984
CA,41.397,-122.993,-54.19840326
CA,41.382,-122.535,-21.75113359
CA,38.803,-120.103,-11.10890902
CA,37.838,-119.448,-9.240757837
CA,40.71,-121.577,-27.6833149
CA,39.973,-121.213,-28.89981055
CA,37.917,-119.253,3.759878202
CA,38.88285,-119.97765,-54.38955862
CA,37.873,-119.35,-0.988124908
CA,36.632,-118.392,-1.921302354
CA,37.184,-118.938,-7.025170666
CA,38.695,-119.983,-17.40454391
CA,38.043,-119.887,-18.52402296
CA,38.017,-119.717,-19.1773667
CA,37.388,-118.903,-10.42911664
CA,39.142,-120.225,-39.85288513
CA,40.387,-121.31,-34.35952824
CA,39.485,-120.425,-3.102861375
CA,39.483,-120.44,-18.52215993
CA,41.15,-122.45,-50.1367794
CA,38.518,-119.985,-0.582879957
CA,38.26355,-119.45635,-19.80161413
CA,38.083,-119.633,-7.803347751
CA,41.2,-122.833,-25.52597366
CA,37.025,-118.908,-10.00489533
CA,39.617,-120.492,-15.32892536
CO,39.78333,-105.78333,-12.08627985
CO,39.83333,-105.75,3.365783178
CO,40.61667,-105.81667,139.574417
CO,40.01667,-105.56667,-14.19443251
CO,39.87505,-107.59853,-36.60732724
CO,40.51667,-105.56667,-22.28469498
CO,37.65083,-107.80602,-44.55192603
CO,40.61667,-105.83333,-41.95766481
CO,38.16667,-106.6,-18.11401884
CO,40.3948,-106.60408,-14.40036415
CO,40.4,-106.6,-29.38477402
CO,40.2,-105.56667,-8.489425997
CO,38.88333,-107,-13.50336717
CO,37.01667,-106.45,34.02770837
CO,40.80571,-105.76993,1.295096927
CO,40.8,-105.76667,-21.83546939
CO,40.4,-105.63333,-11.29014097
CO,40.53397,-106.7813,-18.39525401
CO,40.84781,-106.96871,-18.09505678
CO,39.37991,-106.19681,2.149647286
CO,39.51667,-105.71667,-23.55342814
CO,40.08333,-106.55,-1.83804817
CO,40.15,-106,15.35009413
CO,40.4,-105.65,-36.98061653
CO,39.36127,-106.05978,6.068203491
CO,40.58333,-105.63333,-1.67361279
CO,39.07539,-106.61169,-15.0574635
CO,39.06667,-106.61667,-34.19508008
CO,37.96667,-107.66667,-12.74464145
CO,39.29202,-106.54923,10.72624524
CO,37.6,-105.2,-5.357746302
CO,37.98333,-107.25,-23.70074011
CO,40.41667,-105.81667,-31.78038707
CO,40.41432,-105.8198,-15.41739266
CO,39.88837,-105.89031,-19.3591331
CO,37.37929,-106.54835,-38.67074728
CO,40.26667,-105.58333,-5.84698806
CO,40.07806,-106.67028,-31.79905833
CO,40.78333,-105.93333,-12.71248947
CO,39.05,-108.08333,-3.577619547
CO,39.78333,-106.01667,0.005086793
CO,40.4,-105.83333,-23.52660456
CO,37.74932,-107.68866,-17.57867461
CO,38.51667,-106.33333,-12.07509912
CO,39.3,-106.6,-19.20529155
CO,39.29722,-106.60694,-16.53546182
CO,40.03523,-105.54426,-25.19479735
CO,40.28333,-105.76667,-35.00500771
CO,39.07813,-107.14389,-16.8375826
CO,38.81996,-106.58974,-9.693448688
CO,38.81667,-106.58333,-19.69295924
CO,40.36667,-106.1,-19.50633465
CO,40.39937,-105.84757,2.879904146
CO,37.35,-106.55,-26.50814193
CO,37.8,-106.8,-35.87063601
CO,37.85,-107.16667,-39.95434056
CO,38.48333,-106.33333,-13.90547166
CO,38.48884,-106.33965,-3.073341471
CO,40.36783,-106.74038,-18.5496423
CO,40.81666,-105.65,-9.101333302
CO,40.03333,-107.28333,-38.66612173
CO,40.87502,-106.04603,-15.58009207
CO,37.81667,-107.11667,-45.86954645
CO,39.53333,-106.21667,-1.053969347
CO,37.38333,-106.4,-51.21607161
CO,39.63333,-105.9,-18.3199734
CO,37.69866,-107.77715,-35.03804865
CO,40.22543,-105.91977,-27.99589593
CO,37.93333,-107.8,-15.09405997
CO,39.08333,-106.53333,-8.007306353
CO,40.03279,-105.57615,-20.17633167
CO,37.48576,-106.83535,-14.85335782
CO,37.48333,-106.83333,-16.91414853
CO,40.2,-105.6,-28.61032618
CO,40.34703,-106.09433,22.37790698
CO,40.35,-106.1,-10.44207075
CO,40.36667,-106.76667,-16.30226842
ID,43.7569,-115.23907,-21.56881361
ID,42.09762,-114.17287,-11.92385747
ID,44.30342,-115.23447,-19.72791357
ID,44.95222,-116.14293,-29.94869129
ID,43.74367,-113.93797,-31.66602763
ID,48.35095,-116.83633,-71.59247483
ID,48.3549,-116.76855,-15.34655675
ID,44.62621,-115.79561,-26.17633213
ID,44.48275,-111.27465,-29.12153717
ID,43.764,-116.097,-8.270492784
ID,42.16442,-114.19272,-35.81626724
ID,45.04315,-116.13253,-16.03083535
ID,44.4431,-112.22758,-32.39135756
ID,43.7685,-114.41812,-27.03934803
ID,43.8153,-113.91717,-30.42632456
ID,44.28846,-115.65508,-54.17233251
ID,44.437,-111.99384,-44.7538973
ID,43.91358,-116.0133,-18.84872924
ID,44.54514,-115.5638,-30.27009243
ID,43.6025,-114.67417,-14.12138178
ID,42.36055,-111.56085,-34.37095896
ID,42.36467,-111.50605,-7.851293848
ID,46.32668,-115.06915,-19.28130215
ID,42.0505,-111.6012,-24.4787133
ID,43.87722,-114.6725,-28.25642814
ID,43.87497,-114.71363,-6.8891509
ID,43.6104,-113.9308,-52.32361013
ID,42.32029,-113.61587,31.60662152
ID,44.4203,-111.38512,-15.84088564
ID,44.05092,-115.44322,-33.90939749
ID,44.40057,-111.89473,-30.36427474
ID,44.92075,-115.95108,-32.29039982
ID,47.45749,-115.70457,-39.04309941
ID,43.82432,-114.26402,-34.19865659
ID,42.18072,-114.28662,-9.160486268
ID,44.47212,-114.48992,-7.326213628
ID,43.93206,-115.66515,-20.36436869
ID,45.67008,-113.95315,-18.51295748
ID,43.932,-115.66588,-32.19354839
ID,48.05726,-116.23055,-21.98168365
ID,43.66223,-114.40523,-23.58675066
ID,43.57033,-113.91257,-71.20331203
ID,42.26015,-112.12515,-57.39706302
ID,42.7674,-112.10648,-20.30677874
ID,44.815,-116.69278,-19.44861187
ID,46.46633,-114.63333,-14.10872206
ID,42.52497,-111.95635,-35.4855024
ID,46.56603,-115.74216,-31.60925254
ID,42.56248,-111.29797,-35.21542238
ID,43.48407,-114.82692,-49.88740024
ID,42.95275,-111.35933,-15.55241505
ID,42.76478,-116.90037,-27.68573428
ID,45.15,-116,-33.10349754
ID,43.54248,-111.04602,-23.06949593
ID,43.86117,-114.20902,-22.19988214
ID,42.31023,-111.66895,-39.45319771
ID,42.38005,-112.96432,-20.02453989
ID,43.62903,-115.43818,-25.57098253
ID,44.64602,-111.31183,-31.85317113
ID,43.79942,-114.85273,-24.30849749
ID,45.0722,-116.45413,-38.39252511
ID,42.75743,-112.47783,-18.83061779
ID,42.14013,-111.62592,-25.61481634
MT,48.5712,-115.44573,-29.4012925
MT,47.96252,-115.53938,-36.82640963
MT,46.09713,-113.13038,-16.69681108
MT,45.16507,-113.50099,-10.84876382
MT,48.37007,-114.86688,-35.09877298
MT,47.70255,-112.88097,-50.7688719
MT,45.16825,-109.47167,48.06407343
MT,46.47535,-112.18742,-0.792800782
MT,47.33178,-113.5821,-36.42150705
MT,45.03665,-110.60805,-0.298802844
MT,46.78942,-109.51205,9.955650548
MT,48.41322,-113.95497,-28.89712351
MT,45.92242,-113.72588,-50.79691085
MT,46.4338,-113.06208,-50.6607492
MT,45.47072,-113.09773,-14.69235223
MT,48.43412,-113.93725,-27.07068505
MT,48.00957,-112.82405,-37.17494135
MT,46.52557,-110.77242,-24.94655565
MT,44.87189,-111.34391,-39.32003689
MT,48.49633,-114.35613,-25.97532943
MT,47.57695,-113.31283,-52.7607288
MT,46.2138,-113.2833,-46.80409845
MT,45.21665,-113.50143,-23.11548209
MT,46.83952,-110.69207,-30.18966858
MT,48.95832,-114.42037,-23.31927214
MT,44.5932,-111.8168,-43.09796248
MT,44.58907,-111.82498,-41.5880907
MT,48.326,-114.64365,-31.39323557
MT,46.86552,-113.41537,-59.21308664
MT,46.86945,-113.45938,-84.19483101
MT,46.89898,-113.45325,-46.82577115
MT,48.31967,-113.35833,-28.80995527
MT,48.75663,-113.82025,-39.98172346
MT,47.68493,-113.9623,-6.235361955
MT,45.56311,-110.92929,-30.99765859
MT,45.73107,-114.48075,-15.66239782
MT,47.2726,-113.75617,-20.47320793
MT,47.2726,-113.75617,-24.07847979
MT,45.00565,-110.01406,-18.22812002
MT,48.30305,-113.32868,-63.6041588
MT,45.84997,-112.45567,-31.80745354
MT,46.11192,-110.4696,-33.94008495
MT,48.90922,-115.35612,-21.06542745
MT,48.17478,-109.64728,-72.66580311
MT,45.40125,-110.95758,-21.00224267
MT,46.24212,-113.7725,-21.38230776
MT,46.58515,-113.57242,-28.34678703
MT,47.91568,-113.47413,-29.33330135
MT,46.89093,-112.49857,-26.68162005
MT,46.08835,-113.2681,-18.69094702
MT,46.45542,-112.28783,-4.183357686
MT,46.43643,-112.29167,-25.34185708
MT,47.94622,-113.75248,-16.20271235
MT,44.92004,-111.05468,-29.65515832
MT,47.46182,-113.52312,-19.19066014
MT,48.95642,-114.75603,-20.60603461
MT,44.65866,-111.09199,-7.653656747
MT,44.65866,-111.09199,-24.7984353
MT,47.87257,-112.93057,-41.33729544
MT,47.91328,-112.92473,-49.392004
NM,36.66667,-105.36667,-6.501878501
NM,35.83333,-105.66667,-55.20428175
NM,35.8,-105.8,-31.11316682
NM,36.41168,-105.33345,-32.13974997
NM,36.13333,-105.53333,-62.79774452
NV,38.97485,-114.25147,-42.07471542
NV,38.97098,-114.27697,-23.43326935
NV,38.96715,-114.28668,-6.434376604
NV,41.78333,-119.61667,-80.5243014
NV,41.83384,-115.45278,-20.21434607
NV,39.31917,-114.62278,9.760626076
NV,41.76168,-115.6931,-42.21064055
NV,39.30615,-117.11898,2.218388164
NV,39.29148,-117.11506,-8.252442423
NV,41.75067,-117.53182,4.503234041
NV,39.10988,-119.88797,-70.02800634
NV,40.27551,-115.54017,-20.41269884
NV,41.96737,-118.18934,-96.03522296
NV,40.89343,-115.21104,-19.81050249
NV,41.66198,-115.32397,-9.696229153
NV,41.57872,-115.93182,-43.02929251
NV,39.08438,-119.90348,-35.10058419
NV,41.75093,-115.67798,-53.9795264
NV,41.67032,-117.56668,-1.881644579
NV,40.3848,-115.52757,-31.44775511
NV,40.32443,-115.56217,-31.39013453
NV,41.53333,-116.03333,-64.49908865
NV,36.27325,-115.67467,-25.92405579
NV,41.51542,-117.63197,-82.51692049
NV,40.65802,-115.43415,-15.77707688
NV,40.6448,-115.3812,-28.75107173
NV,40.60175,-115.37683,-8.657098856
NV,36.30805,-115.69664,5.834009497
NV,39.25305,-119.87717,-35.90850179
NV,39.16395,-119.89672,-6.584126031
NV,39.3523,-119.9005,2.669473988
NV,41.87255,-115.24713,0.1670138
NV,41.2287,-116.0293,-45.16478164
NV,41.06662,-115.09613,-9.601994326
NV,41.04393,-115.09555,-50.26683999
OR,45.21328,-117.19258,-27.37962535
OR,42.87007,-122.16518,-26.32383092
OR,45.14532,-118.219,-14.0502671
OR,42.05257,-122.85487,-20.13088404
OR,42.40717,-122.26617,-37.79907194
OR,45.4287,-121.85605,-19.0758237
OR,44.24767,-118.51722,-29.0340067
OR,44.83052,-118.18787,-46.9399552
OR,45.36428,-118.46715,-77.8888632
OR,43.59042,-122.0601,-17.71440153
OR,43.22625,-121.80662,-65.84736295
OR,45.19107,-118.55015,-104.5329791
OR,44.44722,-119.93062,-25.21626182
OR,44.4465,-119.93012,-45.77671061
OR,43.18787,-122.14003,-64.36537153
OR,44.56953,-117.8425,-34.77120833
OR,44.86887,-118.11387,-46.89609957
OR,45.55808,-118.45383,-65.23567803
OR,42.70992,-118.6321,-6.626409184
OR,42.3801,-122.34943,-44.17541108
OR,42.43933,-122.2288,-46.34436404
OR,44.7638,-118.3117,-56.08719926
OR,45.62237,-121.70415,-36.78339015
OR,45.69682,-118.10657,11.02725639
OR,44.42042,-121.85655,-57.22909419
OR,43.80368,-121.94793,-21.66443363
OR,44.38605,-122.16683,-51.90697714
OR,44.21007,-118.63752,-57.26671735
OR,45.27478,-118.8479,-80.40436399
OR,44.59397,-121.97365,-58.77857551
OR,44.51365,-123.55597,-47.66661704
OR,44.2103,-121.87292,-25.59512768
OR,45.27173,-117.68747,-9.345420835
OR,43.51185,-121.97982,-46.78631257
OR,43.30583,-122.15932,-60.74281974
OR,44.42917,-120.3311,-29.96594855
OR,44.43338,-120.33583,-17.39142326
OR,42.89988,-122.13642,-9.74365517
OR,45.04148,-121.93252,-46.34492574
OR,45.4643,-121.70428,-7.543223537
OR,43.90098,-122.03063,-19.41907252
OR,43.61193,-122.11758,-14.46761452
OR,44.43503,-121.94502,-75.93683881
OR,42.92545,-122.39723,-25.75370576
OR,42.95615,-121.18123,-39.27766138
OR,42.75333,-118.68785,-48.97516617
OR,42.12587,-120.8361,-89.76602398
OR,42.6957,-120.80158,-32.93771631
OR,43.44907,-122.13808,-13.76864173
OR,43.98513,-121.53868,-37.55128494
OR,44.14425,-121.64095,-43.66442935
OR,44.65567,-118.42617,-49.48540513
OR,43.24508,-122.2932,-34.54613987
SD,44.2,-104,-32.59585433
UT,39.13683,-111.55813,-62.45867685
UT,41.37603,-111.94405,-15.38046548
UT,38.30183,-112.35672,-5.999924447
UT,38.6799,-111.59765,-17.06472472
UT,38.50809,-112.01856,-35.2198882
UT,40.59936,-111.58167,-21.83780474
UT,37.63385,-112.16947,-16.02007054
UT,37.86943,-109.44717,-23.01048557
UT,41.68541,-111.41987,-18.06176933
UT,40.98492,-110.85075,-60.99803732
UT,40.85464,-111.04765,-14.18398563
UT,40.88529,-111.06954,-2.772416925
UT,39.86671,-111.28363,-19.72716776
UT,39.89275,-111.25154,-19.76297097
UT,40.2953,-111.25677,-30.1916431
UT,38.2084,-111.47412,-17.12414696
UT,41.41289,-111.5377,-34.28321091
UT,40.97462,-111.80975,14.94375229
UT,38.77246,-111.67662,2.317698069
UT,38.50515,-111.76745,-22.06070312
UT,39.32067,-111.4879,-29.32330119
UT,39.3019,-111.45277,-17.74392564
UT,41.922,-111.46817,-38.63174977
UT,38.78903,-111.6887,-23.47296253
UT,37.48997,-112.57602,-38.64967486
UT,40.79669,-110.88472,-26.89352756
UT,40.18505,-111.35937,-36.0624618
UT,39.61153,-111.30493,-24.55386212
UT,39.89166,-110.74604,-18.68164732
UT,38.48383,-112.39273,-15.40226155
UT,40.71632,-109.54401,-28.60232396
UT,40.59709,-110.43316,2.881057411
UT,38.48323,-109.2896,-37.68479019
